x[m],y[m],T[K]
0.0805,0.0825,293.0
0.0805,0.0835,293.0
0.0805,0.0845,293.0
0.0805,0.0855,293.0
0.0805,0.08650000000000001,293.0
0.0805,0.0875,293.0
0.0805,0.0885,293.0
0.0805,0.0895,293.0
0.0805,0.0905,293.0
0.0805,0.0915,293.0
0.0805,0.0925,293.0
0.0805,0.0935,293.0
0.0805,0.0945,293.0
0.0805,0.0955,293.0
0.0805,0.0965,293.0
0.0805,0.0975,293.0
0.0805,0.0985,293.0
0.0805,0.0995,293.0
0.0805,0.1005,293.0
0.0815,-0.0005,293.0
0.0815,0.0005,293.0
0.0815,0.0015,293.0
0.0815,0.0025,293.0
0.0815,0.0035,293.0
0.0815,0.0045000000000000005,293.0
0.0815,0.0055,293.0
0.0815,0.006500000000000001,293.0
0.0815,0.0075,293.0
0.0815,0.0085,293.0
0.0815,0.0095,293.0
0.0815,0.010499999999999999,293.0
0.0815,0.0115,293.0
0.0815,0.0125,293.0
0.0815,0.0135,293.0
0.0815,0.014499999999999999,293.0
0.0815,0.0155,293.0
0.0815,0.0165,293.0
0.0815,0.0175,293.0
0.0815,0.0185,293.0
0.0815,0.0195,293.0
0.0815,0.0205,293.0
0.0815,0.0215,293.0
0.0815,0.0225,293.0
0.0815,0.0235,293.0
0.0815,0.0245,293.0
0.0815,0.025500000000000002,293.0
0.0815,0.0265,293.0
0.0815,0.0275,293.0
0.0815,0.0285,293.0
0.0815,0.0295,293.0
0.0815,0.0305,293.0
0.0815,0.0315,293.0
0.0815,0.0325,293.0
0.0815,0.0335,293.0
0.0815,0.0345,293.0
0.0815,0.035500000000000004,293.0
0.0815,0.0365,293.0
0.0815,0.0375,293.0
0.0815,0.0385,293.0
0.0815,0.0395,293.0
0.0815,0.0405,293.0
0.0815,0.0415,293.0
0.0815,0.0425,293.0
0.0815,0.0435,293.0
0.0815,0.0445,293.0
0.0815,0.0455,293.0
0.0815,0.0465,293.0
0.0815,0.0475,293.0
0.0815,0.0485,293.0
0.0815,0.0495,293.0
0.0815,0.0505,293.0
0.0815,0.051500000000000004,293.0
0.0815,0.0525,293.0
0.0815,0.0535,293.0
0.0815,0.0545,293.0
0.0815,0.0555,293.0
0.0815,0.0565,293.0
0.0815,0.0575,293.0
0.0815,0.0585,293.0
0.0815,0.0595,293.0
0.0815,0.0605,293.0
0.0815,0.0615,293.0
0.0815,0.0625,293.0
0.0815,0.0635,293.0
0.0815,0.0645,293.0
0.0815,0.0655,293.0
0.0815,0.0665,293.0
0.0815,0.0675,293.0
0.0815,0.0685,293.0
0.0815,0.0695,293.0
0.0815,0.07050000000000001,293.0
0.0815,0.07150000000000001,293.0
0.0815,0.0725,293.0
0.0815,0.0735,293.0
0.0815,0.0745,293.0
0.0815,0.0755,293.0
0.0815,0.0765,293.0
0.0815,0.0775,293.0
0.0815,0.0785,293.0
0.0815,0.0795,293.0
0.0815,0.0805,293.0
0.0815,0.0815,293.0
0.0815,0.0825,293.0
0.0815,0.0835,293.0
0.0815,0.0845,293.0
0.0815,0.0855,293.0
0.0815,0.08650000000000001,293.0
0.0815,0.0875,293.0
0.0815,0.0885,293.0
0.0815,0.0895,293.0
0.0815,0.0905,293.0
0.0815,0.0915,293.0
0.0815,0.0925,293.0
0.0815,0.0935,293.0
0.0815,0.0945,293.0
0.0815,0.0955,293.0
0.0815,0.0965,293.0
0.0815,0.0975,293.0
0.0815,0.0985,293.0
0.0815,0.0995,293.0
0.0815,0.1005,293.0
0.0825,-0.0005,293.0
0.0825,0.0005,293.0
0.0825,0.0015,293.0
0.0825,0.0025,293.0
0.0825,0.0035,293.0
0.0825,0.0045000000000000005,293.0
0.0825,0.0055,293.0
0.0825,0.006500000000000001,293.0
0.0825,0.0075,293.0
0.0825,0.0085,293.0
0.0825,0.0095,293.0
0.0825,0.010499999999999999,293.0
0.0825,0.0115,293.0
0.0825,0.0125,293.0
0.0825,0.0135,293.0
0.0825,0.014499999999999999,293.0
0.0825,0.0155,293.0
0.0825,0.0165,293.0
0.0825,0.0175,293.0
0.0825,0.0185,293.0
0.0825,0.0195,293.0
0.0825,0.0205,293.0
0.0825,0.0215,293.0
0.0825,0.0225,293.0
0.0825,0.0235,293.0
0.0825,0.0245,293.0
0.0825,0.025500000000000002,293.0
0.0825,0.0265,293.0
0.0825,0.0275,293.0
0.0825,0.0285,293.0
0.0825,0.0295,293.0
0.0825,0.0305,293.0
0.0825,0.0315,293.0
0.0825,0.0325,293.0
0.0825,0.0335,293.0
0.0825,0.0345,293.0
0.0825,0.035500000000000004,293.0
0.0825,0.0365,293.0
0.0825,0.0375,293.0
0.0825,0.0385,293.0
0.0825,0.0395,293.0
0.0825,0.0405,293.0
0.0825,0.0415,293.0
0.0825,0.0425,293.0
0.0825,0.0435,293.0
0.0825,0.0445,293.0
0.0825,0.0455,293.0
0.0825,0.0465,293.0
0.0825,0.0475,293.0
0.0825,0.0485,293.0
0.0825,0.0495,293.0
0.0825,0.0505,293.0
0.0825,0.051500000000000004,293.0
0.0825,0.0525,293.0
0.0825,0.0535,293.0
0.0825,0.0545,293.0
0.0825,0.0555,293.0
0.0825,0.0565,293.0
0.0825,0.0575,293.0
0.0825,0.0585,293.0
0.0825,0.0595,293.0
0.0825,0.0605,293.0
0.0825,0.0615,293.0
0.0825,0.0625,293.0
0.0825,0.0635,293.0
0.0825,0.0645,293.0
0.0825,0.0655,293.0
0.0825,0.0665,293.0
0.0825,0.0675,293.0
0.0825,0.0685,293.0
0.0825,0.0695,293.0
0.0825,0.07050000000000001,293.0
0.0825,0.07150000000000001,293.0
0.0825,0.0725,293.0
0.0825,0.0735,293.0
0.0825,0.0745,293.0
0.0825,0.0755,293.0
0.0825,0.0765,293.0
0.0825,0.0775,293.0
0.0825,0.0785,293.0
0.0825,0.0795,293.0
0.0825,0.0805,293.0
0.0825,0.0815,293.0
0.0825,0.0825,293.0
0.0825,0.0835,293.0
0.0825,0.0845,293.0
0.0825,0.0855,293.0
0.0825,0.08650000000000001,293.0
0.0825,0.0875,293.0
0.0825,0.0885,293.0
0.0825,0.0895,293.0
0.0825,0.0905,293.0
0.0825,0.0915,293.0
0.0825,0.0925,293.0
0.0825,0.0935,293.0
0.0825,0.0945,293.0
0.0825,0.0955,293.0
0.0825,0.0965,293.0
0.0825,0.0975,293.0
0.0825,0.0985,293.0
0.0825,0.0995,293.0
0.0825,0.1005,293.0
0.0835,-0.0005,293.0
0.0835,0.0005,293.0
0.0835,0.0015,293.0
0.0835,0.0025,293.0
0.0835,0.0035,293.0
0.0835,0.0045000000000000005,293.0
0.0835,0.0055,293.0
0.0835,0.006500000000000001,293.0
0.0835,0.0075,293.0
0.0835,0.0085,293.0
0.0835,0.0095,293.0
0.0835,0.010499999999999999,293.0
0.0835,0.0115,293.0
0.0835,0.0125,293.0
0.0835,0.0135,293.0
0.0835,0.014499999999999999,293.0
0.0835,0.0155,293.0
0.0835,0.0165,293.0
0.0835,0.0175,293.0
0.0835,0.0185,293.0
0.0835,0.0195,293.0
0.0835,0.0205,293.0
0.0835,0.0215,293.0
0.0835,0.0225,293.0
0.0835,0.0235,293.0
0.0835,0.0245,293.0
0.0835,0.025500000000000002,293.0
0.0835,0.0265,293.0
0.0835,0.0275,293.0
0.0835,0.0285,293.0
0.0835,0.0295,293.0
0.0835,0.0305,293.0
0.0835,0.0315,293.0
0.0835,0.0325,293.0
0.0835,0.0335,293.0
0.0835,0.0345,293.0
0.0835,0.035500000000000004,293.0
0.0835,0.0365,293.0
0.0835,0.0375,293.0
0.0835,0.0385,293.0
0.0835,0.0395,293.0
0.0835,0.0405,293.0
0.0835,0.0415,293.0
0.0835,0.0425,293.0
0.0835,0.0435,293.0
0.0835,0.0445,293.0
0.0835,0.0455,293.0
0.0835,0.0465,293.0
0.0835,0.0475,293.0
0.0835,0.0485,293.0
0.0835,0.0495,293.0
0.0835,0.0505,293.0
0.0835,0.051500000000000004,293.0
0.0835,0.0525,293.0
0.0835,0.0535,293.0
0.0835,0.0545,293.0
0.0835,0.0555,293.0
0.0835,0.0565,293.0
0.0835,0.0575,293.0
0.0835,0.0585,293.0
0.0835,0.0595,293.0
0.0835,0.0605,293.0
0.0835,0.0615,293.0
0.0835,0.0625,293.0
0.0835,0.0635,293.0
0.0835,0.0645,293.0
0.0835,0.0655,293.0
0.0835,0.0665,293.0
0.0835,0.0675,293.0
0.0835,0.0685,293.0
0.0835,0.0695,293.0
0.0835,0.07050000000000001,293.0
0.0835,0.07150000000000001,293.0
0.0835,0.0725,293.0
0.0835,0.0735,293.0
0.0835,0.0745,293.0
0.0835,0.0755,293.0
0.0835,0.0765,293.0
0.0835,0.0775,293.0
0.0835,0.0785,293.0
0.0835,0.0795,293.0
0.0835,0.0805,293.0
0.0835,0.0815,293.0
0.0835,0.0825,293.0
0.0835,0.0835,293.0
0.0835,0.0845,293.0
0.0835,0.0855,293.0
0.0835,0.08650000000000001,293.0
0.0835,0.0875,293.0
0.0835,0.0885,293.0
0.0835,0.0895,293.0
0.0835,0.0905,293.0
0.0835,0.0915,293.0
0.0835,0.0925,293.0
0.0835,0.0935,293.0
0.0835,0.0945,293.0
0.0835,0.0955,293.0
0.0835,0.0965,293.0
0.0835,0.0975,293.0
0.0835,0.0985,293.0
0.0835,0.0995,293.0
0.0835,0.1005,293.0
0.0845,-0.0005,293.0
0.0845,0.0005,293.0
0.0845,0.0015,293.0
0.0845,0.0025,293.0
0.0845,0.0035,293.0
0.0845,0.0045000000000000005,293.0
0.0845,0.0055,293.0
0.0845,0.006500000000000001,293.0
0.0845,0.0075,293.0
0.0845,0.0085,293.0
0.0845,0.0095,293.0
0.0845,0.010499999999999999,293.0
0.0845,0.0115,293.0
0.0845,0.0125,293.0
0.0845,0.0135,293.0
0.0845,0.014499999999999999,293.0
0.0845,0.0155,293.0
0.0845,0.0165,293.0
0.0845,0.0175,293.0
0.0845,0.0185,293.0
0.0845,0.0195,293.0
0.0845,0.0205,293.0
0.0845,0.0215,293.0
0.0845,0.0225,293.0
0.0845,0.0235,293.0
0.0845,0.0245,293.0
0.0845,0.025500000000000002,293.0
0.0845,0.0265,293.0
0.0845,0.0275,293.0
0.0845,0.0285,293.0
0.0845,0.0295,293.0
0.0845,0.0305,293.0
0.0845,0.0315,293.0
0.0845,0.0325,293.0
0.0845,0.0335,293.0
0.0845,0.0345,293.0
0.0845,0.035500000000000004,293.0
0.0845,0.0365,293.0
0.0845,0.0375,293.0
0.0845,0.0385,293.0
0.0845,0.0395,293.0
0.0845,0.0405,293.0
0.0845,0.0415,293.0
0.0845,0.0425,293.0
0.0845,0.0435,293.0
0.0845,0.0445,293.0
0.0845,0.0455,293.0
0.0845,0.0465,293.0
0.0845,0.0475,293.0
0.0845,0.0485,293.0
0.0845,0.0495,293.0
0.0845,0.0505,293.0
0.0845,0.051500000000000004,293.0
0.0845,0.0525,293.0
0.0845,0.0535,293.0
0.0845,0.0545,293.0
0.0845,0.0555,293.0
0.0845,0.0565,293.0
0.0845,0.0575,293.0
0.0845,0.0585,293.0
0.0845,0.0595,293.0
0.0845,0.0605,293.0
0.0845,0.0615,293.0
0.0845,0.0625,293.0
0.0845,0.0635,293.0
0.0845,0.0645,293.0
0.0845,0.0655,293.0
0.0845,0.0665,293.0
0.0845,0.0675,293.0
0.0845,0.0685,293.0
0.0845,0.0695,293.0
0.0845,0.07050000000000001,293.0
0.0845,0.07150000000000001,293.0
0.0845,0.0725,293.0
0.0845,0.0735,293.0
0.0845,0.0745,293.0
0.0845,0.0755,293.0
0.0845,0.0765,293.0
0.0845,0.0775,293.0
0.0845,0.0785,293.0
0.0845,0.0795,293.0
0.0845,0.0805,293.0
0.0845,0.0815,293.0
0.0845,0.0825,293.0
0.0845,0.0835,293.0
0.0845,0.0845,293.0
0.0845,0.0855,293.0
0.0845,0.08650000000000001,293.0
0.0845,0.0875,293.0
0.0845,0.0885,293.0
0.0845,0.0895,293.0
0.0845,0.0905,293.0
0.0845,0.0915,293.0
0.0845,0.0925,293.0
0.0845,0.0935,293.0
0.0845,0.0945,293.0
0.0845,0.0955,293.0
0.0845,0.0965,293.0
0.0845,0.0975,293.0
0.0845,0.0985,293.0
0.0845,0.0995,293.0
0.0845,0.1005,293.0
0.0855,-0.0005,293.0
0.0855,0.0005,293.0
0.0855,0.0015,293.0
0.0855,0.0025,293.0
0.0855,0.0035,293.0
0.0855,0.0045000000000000005,293.0
0.0855,0.0055,293.0
0.0855,0.006500000000000001,293.0
0.0855,0.0075,293.0
0.0855,0.0085,293.0
0.0855,0.0095,293.0
0.0855,0.010499999999999999,293.0
0.0855,0.0115,293.0
0.0855,0.0125,293.0
0.0855,0.0135,293.0
0.0855,0.014499999999999999,293.0
0.0855,0.0155,293.0
0.0855,0.0165,293.0
0.0855,0.0175,293.0
0.0855,0.0185,293.0
0.0855,0.0195,293.0
0.0855,0.0205,293.0
0.0855,0.0215,293.0
0.0855,0.0225,293.0
0.0855,0.0235,293.0
0.0855,0.0245,293.0
0.0855,0.025500000000000002,293.0
0.0855,0.0265,293.0
0.0855,0.0275,293.0
0.0855,0.0285,293.0
0.0855,0.0295,293.0
0.0855,0.0305,293.0
0.0855,0.0315,293.0
0.0855,0.0325,293.0
0.0855,0.0335,293.0
0.0855,0.0345,293.0
0.0855,0.035500000000000004,293.0
0.0855,0.0365,293.0
0.0855,0.0375,293.0
0.0855,0.0385,293.0
0.0855,0.0395,293.0
0.0855,0.0405,293.0
0.0855,0.0415,293.0
0.0855,0.0425,293.0
0.0855,0.0435,293.0
0.0855,0.0445,293.0
0.0855,0.0455,293.0
0.0855,0.0465,293.0
0.0855,0.0475,293.0
0.0855,0.0485,293.0
0.0855,0.0495,293.0
0.0855,0.0505,293.0
0.0855,0.051500000000000004,293.0
0.0855,0.0525,293.0
0.0855,0.0535,293.0
0.0855,0.0545,293.0
0.0855,0.0555,293.0
0.0855,0.0565,293.0
0.0855,0.0575,293.0
0.0855,0.0585,293.0
0.0855,0.0595,293.0
0.0855,0.0605,293.0
0.0855,0.0615,293.0
0.0855,0.0625,293.0
0.0855,0.0635,293.0
0.0855,0.0645,293.0
0.0855,0.0655,293.0
0.0855,0.0665,293.0
0.0855,0.0675,293.0
0.0855,0.0685,293.0
0.0855,0.0695,293.0
0.0855,0.07050000000000001,293.0
0.0855,0.07150000000000001,293.0
0.0855,0.0725,293.0
0.0855,0.0735,293.0
0.0855,0.0745,293.0
0.0855,0.0755,293.0
0.0855,0.0765,293.0
0.0855,0.0775,293.0
0.0855,0.0785,293.0
0.0855,0.0795,293.0
0.0855,0.0805,293.0
0.0855,0.0815,293.0
0.0855,0.0825,293.0
0.0855,0.0835,293.0
0.0855,0.0845,293.0
0.0855,0.0855,293.0
0.0855,0.08650000000000001,293.0
0.0855,0.0875,293.0
0.0855,0.0885,293.0
0.0855,0.0895,293.0
0.0855,0.0905,293.0
0.0855,0.0915,293.0
0.0855,0.0925,293.0
0.0855,0.0935,293.0
0.0855,0.0945,293.0
0.0855,0.0955,293.0
0.0855,0.0965,293.0
0.0855,0.0975,293.0
0.0855,0.0985,293.0
0.0855,0.0995,293.0
0.0855,0.1005,293.0
0.08650000000000001,-0.0005,293.0
0.08650000000000001,0.0005,293.0
0.08650000000000001,0.0015,293.0
0.08650000000000001,0.0025,293.0
0.08650000000000001,0.0035,293.0
0.08650000000000001,0.0045000000000000005,293.0
0.08650000000000001,0.0055,293.0
0.08650000000000001,0.006500000000000001,293.0
0.08650000000000001,0.0075,293.0
0.08650000000000001,0.0085,293.0
0.08650000000000001,0.0095,293.0
0.08650000000000001,0.010499999999999999,293.0
0.08650000000000001,0.0115,293.0
0.08650000000000001,0.0125,293.0
0.08650000000000001,0.0135,293.0
0.08650000000000001,0.014499999999999999,293.0
0.08650000000000001,0.0155,293.0
0.08650000000000001,0.0165,293.0
0.08650000000000001,0.0175,293.0
0.08650000000000001,0.0185,293.0
0.08650000000000001,0.0195,293.0
0.08650000000000001,0.0205,293.0
0.08650000000000001,0.0215,293.0
0.08650000000000001,0.0225,293.0
0.08650000000000001,0.0235,293.0
0.08650000000000001,0.0245,293.0
0.08650000000000001,0.025500000000000002,293.0
0.08650000000000001,0.0265,293.0
0.08650000000000001,0.0275,293.0
0.08650000000000001,0.0285,293.0
0.08650000000000001,0.0295,293.0
0.08650000000000001,0.0305,293.0
0.08650000000000001,0.0315,293.0
0.08650000000000001,0.0325,293.0
0.08650000000000001,0.0335,293.0
0.08650000000000001,0.0345,293.0
0.08650000000000001,0.035500000000000004,293.0
0.08650000000000001,0.0365,293.0
0.08650000000000001,0.0375,293.0
0.08650000000000001,0.0385,293.0
0.08650000000000001,0.0395,293.0
0.08650000000000001,0.0405,293.0
0.08650000000000001,0.0415,293.0
0.08650000000000001,0.0425,293.0
0.08650000000000001,0.0435,293.0
0.08650000000000001,0.0445,293.0
0.08650000000000001,0.0455,293.0
0.08650000000000001,0.0465,293.0
0.08650000000000001,0.0475,293.0
0.08650000000000001,0.0485,293.0
0.08650000000000001,0.0495,293.0
0.08650000000000001,0.0505,293.0
0.08650000000000001,0.051500000000000004,293.0
0.08650000000000001,0.0525,293.0
0.08650000000000001,0.0535,293.0
0.08650000000000001,0.0545,293.0
0.08650000000000001,0.0555,293.0
0.08650000000000001,0.0565,293.0
0.08650000000000001,0.0575,293.0
0.08650000000000001,0.0585,293.0
0.08650000000000001,0.0595,293.0
0.08650000000000001,0.0605,293.0
0.08650000000000001,0.0615,293.0
0.08650000000000001,0.0625,293.0
0.08650000000000001,0.0635,293.0
0.08650000000000001,0.0645,293.0
0.08650000000000001,0.0655,293.0
0.08650000000000001,0.0665,293.0
0.08650000000000001,0.0675,293.0
0.08650000000000001,0.0685,293.0
0.08650000000000001,0.0695,293.0
0.08650000000000001,0.07050000000000001,293.0
0.08650000000000001,0.07150000000000001,293.0
0.08650000000000001,0.0725,293.0
0.08650000000000001,0.0735,293.0
0.08650000000000001,0.0745,293.0
0.08650000000000001,0.0755,293.0
0.08650000000000001,0.0765,293.0
0.08650000000000001,0.0775,293.0
0.08650000000000001,0.0785,293.0
0.08650000000000001,0.0795,293.0
0.08650000000000001,0.0805,293.0
0.08650000000000001,0.0815,293.0
0.08650000000000001,0.0825,293.0
0.08650000000000001,0.0835,293.0
0.08650000000000001,0.0845,293.0
0.08650000000000001,0.0855,293.0
0.08650000000000001,0.08650000000000001,293.0
0.08650000000000001,0.0875,293.0
0.08650000000000001,0.0885,293.0
0.08650000000000001,0.0895,293.0
0.08650000000000001,0.0905,293.0
0.08650000000000001,0.0915,293.0
0.08650000000000001,0.0925,293.0
0.08650000000000001,0.0935,293.0
0.08650000000000001,0.0945,293.0
0.08650000000000001,0.0955,293.0
0.08650000000000001,0.0965,293.0
0.08650000000000001,0.0975,293.0
0.08650000000000001,0.0985,293.0
0.08650000000000001,0.0995,293.0
0.08650000000000001,0.1005,293.0
0.0875,-0.0005,293.0
0.0875,0.0005,293.0
0.0875,0.0015,293.0
0.0875,0.0025,293.0
0.0875,0.0035,293.0
0.0875,0.0045000000000000005,293.0
0.0875,0.0055,293.0
0.0875,0.006500000000000001,293.0
0.0875,0.0075,293.0
0.0875,0.0085,293.0
0.0875,0.0095,293.0
0.0875,0.010499999999999999,293.0
0.0875,0.0115,293.0
0.0875,0.0125,293.0
0.0875,0.0135,293.0
0.0875,0.014499999999999999,293.0
0.0875,0.0155,293.0
0.0875,0.0165,293.0
0.0875,0.0175,293.0
0.0875,0.0185,293.0
0.0875,0.0195,293.0
0.0875,0.0205,293.0
0.0875,0.0215,293.0
0.0875,0.0225,293.0
0.0875,0.0235,293.0
0.0875,0.0245,293.0
0.0875,0.025500000000000002,293.0
0.0875,0.0265,293.0
0.0875,0.0275,293.0
0.0875,0.0285,293.0
0.0875,0.0295,293.0
0.0875,0.0305,293.0
0.0875,0.0315,293.0
0.0875,0.0325,293.0
0.0875,0.0335,293.0
0.0875,0.0345,293.0
0.0875,0.035500000000000004,293.0
0.0875,0.0365,293.0
0.0875,0.0375,293.0
0.0875,0.0385,293.0
0.0875,0.0395,293.0
0.0875,0.0405,293.0
0.0875,0.0415,293.0
0.0875,0.0425,293.0
0.0875,0.0435,293.0
0.0875,0.0445,293.0
0.0875,0.0455,293.0
0.0875,0.0465,293.0
0.0875,0.0475,293.0
0.0875,0.0485,293.0
0.0875,0.0495,293.0
0.0875,0.0505,293.0
0.0875,0.051500000000000004,293.0
0.0875,0.0525,293.0
0.0875,0.0535,293.0
0.0875,0.0545,293.0
0.0875,0.0555,293.0
0.0875,0.0565,293.0
0.0875,0.0575,293.0
0.0875,0.0585,293.0
0.0875,0.0595,293.0
0.0875,0.0605,293.0
0.0875,0.0615,293.0
0.0875,0.0625,293.0
0.0875,0.0635,293.0
0.0875,0.0645,293.0
0.0875,0.0655,293.0
0.0875,0.0665,293.0
0.0875,0.0675,293.0
0.0875,0.0685,293.0
0.0875,0.0695,293.0
0.0875,0.07050000000000001,293.0
0.0875,0.07150000000000001,293.0
0.0875,0.0725,293.0
0.0875,0.0735,293.0
0.0875,0.0745,293.0
0.0875,0.0755,293.0
0.0875,0.0765,293.0
0.0875,0.0775,293.0
0.0875,0.0785,293.0
0.0875,0.0795,293.0
0.0875,0.0805,293.0
0.0875,0.0815,293.0
0.0875,0.0825,293.0
0.0875,0.0835,293.0
0.0875,0.0845,293.0
0.0875,0.0855,293.0
0.0875,0.08650000000000001,293.0
0.0875,0.0875,293.0
0.0875,0.0885,293.0
0.0875,0.0895,293.0
0.0875,0.0905,293.0
0.0875,0.0915,293.0
0.0875,0.0925,293.0
0.0875,0.0935,293.0
0.0875,0.0945,293.0
0.0875,0.0955,293.0
0.0875,0.0965,293.0
0.0875,0.0975,293.0
0.0875,0.0985,293.0
0.0875,0.0995,293.0
0.0875,0.1005,293.0
0.0885,-0.0005,293.0
0.0885,0.0005,293.0
0.0885,0.0015,293.0
0.0885,0.0025,293.0
0.0885,0.0035,293.0
0.0885,0.0045000000000000005,293.0
0.0885,0.0055,293.0
0.0885,0.006500000000000001,293.0
0.0885,0.0075,293.0
0.0885,0.0085,293.0
0.0885,0.0095,293.0
0.0885,0.010499999999999999,293.0
0.0885,0.0115,293.0
0.0885,0.0125,293.0
0.0885,0.0135,293.0
0.0885,0.014499999999999999,293.0
0.0885,0.0155,293.0
0.0885,0.0165,293.0
0.0885,0.0175,293.0
0.0885,0.0185,293.0
0.0885,0.0195,293.0
0.0885,0.0205,293.0
0.0885,0.0215,293.0
0.0885,0.0225,293.0
0.0885,0.0235,293.0
0.0885,0.0245,293.0
0.0885,0.025500000000000002,293.0
0.0885,0.0265,293.0
0.0885,0.0275,293.0
0.0885,0.0285,293.0
0.0885,0.0295,293.0
0.0885,0.0305,293.0
0.0885,0.0315,293.0
0.0885,0.0325,293.0
0.0885,0.0335,293.0
0.0885,0.0345,293.0
0.0885,0.035500000000000004,293.0
0.0885,0.0365,293.0
0.0885,0.0375,293.0
0.0885,0.0385,293.0
0.0885,0.0395,293.0
0.0885,0.0405,293.0
0.0885,0.0415,293.0
0.0885,0.0425,293.0
0.0885,0.0435,293.0
0.0885,0.0445,293.0
0.0885,0.0455,293.0
0.0885,0.0465,293.0
0.0885,0.0475,293.0
0.0885,0.0485,293.0
0.0885,0.0495,293.0
0.0885,0.0505,293.0
0.0885,0.051500000000000004,293.0
0.0885,0.0525,293.0
0.0885,0.0535,293.0
0.0885,0.0545,293.0
0.0885,0.0555,293.0
0.0885,0.0565,293.0
0.0885,0.0575,293.0
0.0885,0.0585,293.0
0.0885,0.0595,293.0
0.0885,0.0605,293.0
0.0885,0.0615,293.0
0.0885,0.0625,293.0
0.0885,0.0635,293.0
0.0885,0.0645,293.0
0.0885,0.0655,293.0
0.0885,0.0665,293.0
0.0885,0.0675,293.0
0.0885,0.0685,293.0
0.0885,0.0695,293.0
0.0885,0.07050000000000001,293.0
0.0885,0.07150000000000001,293.0
0.0885,0.0725,293.0
0.0885,0.0735,293.0
0.0885,0.0745,293.0
0.0885,0.0755,293.0
0.0885,0.0765,293.0
0.0885,0.0775,293.0
0.0885,0.0785,293.0
0.0885,0.0795,293.0
0.0885,0.0805,293.0
0.0885,0.0815,293.0
0.0885,0.0825,293.0
0.0885,0.0835,293.0
0.0885,0.0845,293.0
0.0885,0.0855,293.0
0.0885,0.08650000000000001,293.0
0.0885,0.0875,293.0
0.0885,0.0885,293.0
0.0885,0.0895,293.0
0.0885,0.0905,293.0
0.0885,0.0915,293.0
0.0885,0.0925,293.0
0.0885,0.0935,293.0
0.0885,0.0945,293.0
0.0885,0.0955,293.0
0.0885,0.0965,293.0
0.0885,0.0975,293.0
0.0885,0.0985,293.0
0.0885,0.0995,293.0
0.0885,0.1005,293.0
0.0895,-0.0005,293.0
0.0895,0.0005,293.0
0.0895,0.0015,293.0
0.0895,0.0025,293.0
0.0895,0.0035,293.0
0.0895,0.0045000000000000005,293.0
0.0895,0.0055,293.0
0.0895,0.006500000000000001,293.0
0.0895,0.0075,293.0
0.0895,0.0085,293.0
0.0895,0.0095,293.0
0.0895,0.010499999999999999,293.0
0.0895,0.0115,293.0
0.0895,0.0125,293.0
0.0895,0.0135,293.0
0.0895,0.014499999999999999,293.0
0.0895,0.0155,293.0
0.0895,0.0165,293.0
0.0895,0.0175,293.0
0.0895,0.0185,293.0
0.0895,0.0195,293.0
0.0895,0.0205,293.0
0.0895,0.0215,293.0
0.0895,0.0225,293.0
0.0895,0.0235,293.0
0.0895,0.0245,293.0
0.0895,0.025500000000000002,293.0
0.0895,0.0265,293.0
0.0895,0.0275,293.0
0.0895,0.0285,293.0
0.0895,0.0295,293.0
0.0895,0.0305,293.0
0.0895,0.0315,293.0
0.0895,0.0325,293.0
0.0895,0.0335,293.0
0.0895,0.0345,293.0
0.0895,0.035500000000000004,293.0
0.0895,0.0365,293.0
0.0895,0.0375,293.0
0.0895,0.0385,293.0
0.0895,0.0395,293.0
0.0895,0.0405,293.0
0.0895,0.0415,293.0
0.0895,0.0425,293.0
0.0895,0.0435,293.0
0.0895,0.0445,293.0
0.0895,0.0455,293.0
0.0895,0.0465,293.0
0.0895,0.0475,293.0
0.0895,0.0485,293.0
0.0895,0.0495,293.0
0.0895,0.0505,293.0
0.0895,0.051500000000000004,293.0
0.0895,0.0525,293.0
0.0895,0.0535,293.0
0.0895,0.0545,293.0
0.0895,0.0555,293.0
0.0895,0.0565,293.0
0.0895,0.0575,293.0
0.0895,0.0585,293.0
0.0895,0.0595,293.0
0.0895,0.0605,293.0
0.0895,0.0615,293.0
0.0895,0.0625,293.0
0.0895,0.0635,293.0
0.0895,0.0645,293.0
0.0895,0.0655,293.0
0.0895,0.0665,293.0
0.0895,0.0675,293.0
0.0895,0.0685,293.0
0.0895,0.0695,293.0
0.0895,0.07050000000000001,293.0
0.0895,0.07150000000000001,293.0
0.0895,0.0725,293.0
0.0895,0.0735,293.0
0.0895,0.0745,293.0
0.0895,0.0755,293.0
0.0895,0.0765,293.0
0.0895,0.0775,293.0
0.0895,0.0785,293.0
0.0895,0.0795,293.0
0.0895,0.0805,293.0
0.0895,0.0815,293.0
0.0895,0.0825,293.0
0.0895,0.0835,293.0
0.0895,0.0845,293.0
0.0895,0.0855,293.0
0.0895,0.08650000000000001,293.0
0.0895,0.0875,293.0
0.0895,0.0885,293.0
0.0895,0.0895,293.0
0.0895,0.0905,293.0
0.0895,0.0915,293.0
0.0895,0.0925,293.0
0.0895,0.0935,293.0
0.0895,0.0945,293.0
0.0895,0.0955,293.0
0.0895,0.0965,293.0
0.0895,0.0975,293.0
0.0895,0.0985,293.0
0.0895,0.0995,293.0
0.0895,0.1005,293.0
0.0905,-0.0005,293.0
0.0905,0.0005,293.0
0.0905,0.0015,293.0
0.0905,0.0025,293.0
0.0905,0.0035,293.0
